tx_hash,block_number,timestamp,from_address,to_address,contract_address,collection,token_id,price_eth,value_wei,gas_used,gas_price_gwei,cabal_id,cabal_label,pattern_type,is_wash
0x709b55bd3da0f5a838125bd0ee20c5bfdd7caba173912d4281cae816b79a201b,19001037,1705112444,0x4da31cafafad910f6402271b64bdd19611fe17b1,0xa8a8441793fadf520c722c3606b63662f00655d4,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.2414,1241400000000000000,88785,29.91,,,organic,0
0x27ca64c092a959c7edc525ed45e845b1de6a7590d173fd2fad9133c8a779a1e3,19001052,1705112624,0xa8a8441793fadf520c722c3606b63662f00655d4,0xad06ae7da3aa1574a9f51ab4fc63345842e2d53b,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.3477,1347700000000000000,179686,38.17,,,organic,0
0x1f3cb18e896256d7d6bb8c11a6ec71f005c75de05e39beae5d93bbd1e2c8b7a9,19001085,1705113020,0xad06ae7da3aa1574a9f51ab4fc63345842e2d53b,0xeaff01211a4c4fd32150c6423f7eb79c0fdfd988,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.8614,1861400000000000000,111856,36.31,,,organic,0
0x41b637cfd9eb3e2f60f734f9ca44e5c1559c6f481d49d6ed6891f3e9a086ac78,19001095,1705113140,0xeaff01211a4c4fd32150c6423f7eb79c0fdfd988,0x4bb20518f5f8f9f94fc9eaf4ba9a9e4e4e47d337,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.6637,1663700000000000000,92325,31.84,,,organic,0
0xa8c0cce8bb067e91cf2766c26be4e5d7cfba3d3323dc19d08a834391a1ce5acf,19001124,1705113488,0x4bb20518f5f8f9f94fc9eaf4ba9a9e4e4e47d337,0xcddbd484537f8426960d61adc5d89d7f5c89be6e,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.6792,1679200000000000000,177679,26.67,,,organic,0
0xd20a624740ce1b7e2c74659bb291f665c021d202be02d13ce27feb067eeec837,19001129,1705113548,0xcddbd484537f8426960d61adc5d89d7f5c89be6e,0x086db361dc56dbe002d620110c67589ab48d0189,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.173,1173000000000000000,172866,11.51,,,organic,0
0x281b9dba10658c86d0c3c267b82b8972b6c7b41285f60ce2054211e69dd89e15,19001158,1705113896,0x086db361dc56dbe002d620110c67589ab48d0189,0x4ba627d0af8c5d1c3172b42931cb7d9fda7fafc8,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.9631,1963100000000000000,138172,10.03,,,organic,0
0xdf743dd1973e1c7d46968720b931af0afa8ec5e8412f9420006b7b4fa660ba8d,19001160,1705113920,0x4ba627d0af8c5d1c3172b42931cb7d9fda7fafc8,0x2717436287135860dd83b46613e22eaeb00e9a92,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,2.4639,2463900000000000000,149166,31.06,,,organic,0
0x3e812f40cd8e4ca3a92972610409922dedf1c0dbc68394fcb1c8f188a42655e2,19001179,1705114148,0x2717436287135860dd83b46613e22eaeb00e9a92,0x4bb20518f5f8f9f94fc9eaf4ba9a9e4e4e47d337,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,2.0978,2097800000000000000,160741,28.51,,,organic,0
0x3ebc2bd1d73e4f2f1f2af086ad724c98c8030f74c0c2be6c2d6fd538c711f35c,19001210,1705114520,0x4bb20518f5f8f9f94fc9eaf4ba9a9e4e4e47d337,0x34ae93d86d1f76a5a9b7fb9edde079cbbb3ae083,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.3687,1368700000000000000,60425,38.52,,,organic,0
0x9789f4e2339193149452c1a42cded34f7a301a13196cd8200246af7cc1e33c3b,19001244,1705114928,0x34ae93d86d1f76a5a9b7fb9edde079cbbb3ae083,0xe7c5a758884c00cef7881b56645c2beecdb7694f,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,2.1706,2170599999999999744,159871,13.72,,,organic,0
0xaefe99f12345aabc4aa2f000181008843c8abf57ccf394710b2c48ed38e1a66a,19001284,1705115408,0xe7c5a758884c00cef7881b56645c2beecdb7694f,0xaaa2e8ffeaf9bcfb2ebc5c77655787375713bcef,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.4398,1439800000000000000,86071,12.89,,,organic,0
0x64f662d104723a4326096ffd92954e24f2bf5c3ad374f04b10fcc735bc901a4d,19001319,1705115828,0xaaa2e8ffeaf9bcfb2ebc5c77655787375713bcef,0xcbaa31eaa6a4aa4e29d7a336833d4f2fba8d9a07,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,2.2363,2236300000000000000,60074,27.17,,,organic,0
0x95a73895c9c6ee0fadb8d7da2fac25eb523fc582dc12c40ec793f0c1a70893b4,19001344,1705116128,0xcbaa31eaa6a4aa4e29d7a336833d4f2fba8d9a07,0x7b23ff8ecf8f580d505d5b1ab33f2500203ae9cf,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.8382,1838200000000000000,175175,39.53,,,organic,0
0x315987563da5a1f3967053d445f73107ed6388270b00fb99a9aaa26c56ecba2b,19001361,1705116332,0x7b23ff8ecf8f580d505d5b1ab33f2500203ae9cf,0x1b557bdd8ab402aae6ced9c959fd3fd33f3a8c44,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,2.195,2194999999999999744,175082,26.16,,,organic,0
0x09caa1de14f86c5c19bf53cadc4206fd872a7bf71cda9814b590eb8c6e706fbb,19001393,1705116716,0x1b557bdd8ab402aae6ced9c959fd3fd33f3a8c44,0xc72a469892fe3f693eb5dc5ecfc81ae68db043b2,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.9471,1947100000000000000,132063,13.28,,,organic,0
0x9d04d59d713b607c81811230645ce40afae2297f1cdc1216c45080a5c2e86a5a,19001408,1705116896,0xc72a469892fe3f693eb5dc5ecfc81ae68db043b2,0x68aa82484e1c1cfa50d88bf039bffb4ff748e379,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.9812,1981200000000000000,130686,32.17,,,organic,0
0xab8a58ff2cf9131f9730d94b9d67f087f5d91aebc3c032b6c5b7b810c47e0132,19001435,1705117220,0x68aa82484e1c1cfa50d88bf039bffb4ff748e379,0x6d55bd95a787cfe1cb396f534d0e1cf7bdf88933,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,2.5685,2568500000000000000,148039,28.8,,,organic,0
0xc7c3f15b67d59190a6bbe5d98d058270aee86fe1468c73e00a4e7dcc7efcd3a0,19001444,1705117328,0x6d55bd95a787cfe1cb396f534d0e1cf7bdf88933,0xeaff01211a4c4fd32150c6423f7eb79c0fdfd988,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.9506,1950600000000000000,92493,15.19,,,organic,0
0x27ef2eaa77544d2dd325ce93299fcddef0fae77ae72f510361fa6e5d831610b2,19001460,1705117520,0xeaff01211a4c4fd32150c6423f7eb79c0fdfd988,0xc77e97bede54dff5c79d161b08f6caf27083d20c,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.7224,1722400000000000000,137128,15.05,,,organic,0
0x8a0dbd63074bebdcd6f8b26a542d10d18ea84a293d9c4abdfed5f83cb720b4b7,19001476,1705117712,0xc77e97bede54dff5c79d161b08f6caf27083d20c,0xfb24b2042d7e4a184c410110f758d9869484dfbd,0xa4243473512190d0b0a166346d30949badc746dc,SYNTH,3400,1.1997,1199700000000000000,68834,36.97,,,organic,0
