tx_hash,block_number,timestamp,from_address,to_address,value_eth,value_wei,gas_used,gas_price_gwei,tx_role,nft_tx_hash
0x9e373e0134e54191df2b7741d7351a8ffb0279eec05a3e1216f0460db342c108,19000510,1705106120,0xd8785f2ddbda677c6a2b2227b8330df0927794f9,0xd071d03b1a1334a95a3f6438bb7dd12f1d8cc371,0.3528,352800000000000000,81802,36.31,hub_deposit,
0x28b54243b21759c86ba44bf90cc9b12a2f986b09f97dfa21e1dc8ff901460b57,19000517,1705106204,0xd323bdbb3a69c45ae1330d5438c3769d62fb8795,0x0bc9d28a38415bd1f2f54da26bf4a829d5fb0b3b,0.206,206000000000000000,164846,17.34,organic,
0x1b8314dfdfcb2fb6304e05d09870c02417953e7ec5cc3bdd0726e2750e5931fb,19000572,1705106864,0xdbac4395d17a6d04e1e68138b1f1802c949b03ae,0xd071d03b1a1334a95a3f6438bb7dd12f1d8cc371,1.1664,1166400000000000000,164970,8.27,hub_deposit,
0x8effe3cc1b0b97392c921a8ac8d50fe90e55a25c909c39d5d63cbb4041e2654c,19000572,1705106864,0xeaff01211a4c4fd32150c6423f7eb79c0fdfd988,0x76bb1ed6ae2c2756885f506f4b4867b0954a2c20,0.33,330000000000000000,91502,36.94,organic,
0x74d1f788da0b9ff701fc85981398f681683b895647338fd7c5b8e6eee5db42b1,19000576,1705106912,0x4ba627d0af8c5d1c3172b42931cb7d9fda7fafc8,0xd071d03b1a1334a95a3f6438bb7dd12f1d8cc371,0.384,384000000000000000,172766,21.51,hub_deposit,
0x1dc766eff864b0805d494e1f639e1955b6bada6d30b7c5b49375dd70ae0c794b,19000600,1705107200,0xd071d03b1a1334a95a3f6438bb7dd12f1d8cc371,0x1dc3ab07f4fde1760ae02ff0d459e3af0bf696eb,16.0,16000000000000000000,121875,9.02,hub_withdrawal,
0xfa125ab220c776110e0a0b24748aa07fbcda29f8d7486aad190d98944c0407d1,19000606,1705107272,0x1dc3ab07f4fde1760ae02ff0d459e3af0bf696eb,0x6c0bcfa97c6af6ce5c70fe4cbe8b8894b360a6ec,4.9818,4981800000000000000,160790,12.33,funding,
0x0200373e6f3a28c2c9f56167cc8b798b41e99e53a389ea1126075dd304876040,19000606,1705107272,0x93173f01de544205a52281d5c8e7cf7e057a589e,0x47bc2f827910744f66154e779c0ed49fa1361a7b,1.1271,1127100000000000000,173881,32.99,organic,
0x2882d655e3cf49f25b00064187ce1d9eb219106b9d90329e6bac39e6b53147ed,19000608,1705107296,0x1dc3ab07f4fde1760ae02ff0d459e3af0bf696eb,0xb63658d01dacc0f12cc04c6f9d1456de4303ec10,5.0283,5028300000000000000,155589,28.67,funding,
0xe1203002d01cfcf1c20e4aad0430c4880933c7ee115182c170145e89f5a26489,19000610,1705107320,0x1dc3ab07f4fde1760ae02ff0d459e3af0bf696eb,0x8d17a77856194ffa0dcb06e3b236a3151110378b,4.9841,4984100000000000000,176828,20.24,funding,
0x5d8a96bdbf726bc913d3ace7692e6caa86d23f972f3c0035bc38c8f7673af307,19000645,1705107740,0x4e37d776b582d70c16cd2e441390d2785c268c36,0xb249f4fef6b7878538593a0688e14e3b19c029f9,0.2929,292900000000000000,133024,25.57,organic,
